Name	Address	latitude	longitude
Got Cha	3050 Hecker Pass Hwy, Gilroy 	37.004758	-121.626515
Teanado	550 Lakeside Dr, Sunnyvale	37.385773	-121.99305
Sharetea	568 E El Camino Real, Sunnyvale	37.354753	-122.016392
Bambu	189 W Washington Ave, Sunnyvale	37.3762	-122.031025
Quickly	415 N Mary Ave, Sunnyvale	37.389897	-122.042304
Bobo Drinks	520 Lawrence Expy, Sunnyvale	37.383273	-121.995268
Tea Fans	927 E Arques Ave, Sunnyvale	37.38116	-122.007694
Happy Lemon	605 E El Camino Real, Sunnyvale	37.361868	-122.024376
Happy Lemon	20488 Stevens Creek Blvd, Cupertino	37.322425	-122.031229
Tea Era	20916 Homestead Rd, Cupertino	37.337459	-122.062801
Ten Ren Teahouse	10881 N Wolfe Rd, Cupertino	37.336538	-122.015210
Monster Boba	10787 S Blaney Ave, Cupertino	37.311288	-122.023624
Fantasia Coffee & Tea	10933 N Wolfe Rd, Cupertino	37.336035	-122.015562
What8ver Express	10118 Bandley Dr, Cupertino	37.324729	-122.033756
Super Cue Cafe	19620 Stevens Creek Blvd, Cupertino	37.322617	-122.017121
Cafe LaTTea	19501 Stevens Creek Blvd, Cupertino	37.323415	-122.01201
Tpumps	19959 Stevens Creek Blvd, Cupertino	37.323221	-122.022701
Quickly	21265 Stevens Creek Blvd, Cupertino	37.32323	-122.047346
Verde Tea Express	10963 N Wolfe St, Cupertino	37.335952	-122.015245
Verde Tea House	10477 S De Anza Blvd, Cupertino	37.316033	-122.033754
Tea Chansii	19449 Stevens Creek Blvd, Cupertino	37.324398	-122.011202
Coffee Society	10300 Torre Ave, Cupertino	37.318911	-122.028741
85C Bakery & Cafe	19459 Stevens Creek Blvd, Cupertino	37.324001	-122.011203
JS Stew House	10271 Torre Ave, Cupertino	37.318544	-122.029571
InTeaNet	19505 Stevens Creek Blvd, Cupertino	37.323303	-122.012852
Meet Fresh	19449 Stevens Creek Blvd, Cupertino	37.324398	-122.011202
Happy Lemon	10963 N Wolfe Rd, Cupertino	37.335952	-122.015245
Teaspoon	4546 El Camino Real, Los Altos	37.401084	-122.114359
Pekoe	3276 S White Rd, San Jose	37.365833	-121.828025
BFresh	3005 Silver Creek Rd, San Jose	37.30994	-121.813357
One Tea	231 E Santa Clara St, San Jose	37.338558	-121.885737
Tleaf Teapresso	860 Blossom Hill Rd, San Jose	37.256404	-121.801425
The Tea Zone	980 S Winchester Blvd, San Jose	37.322562	-121.950205
Teaspoon	4328 Moorpark Ave, San Jose	37.31615	-121.950211
Tea Lyfe	989 Story Rd, San Jose	37.353389	-121.82324
Gong Cha	1600 Saratoga Ave Ste 115, San Jose	37.291286	-121.989605
Tapioca Express	81 Curtner Ave, San Jose	37.286383	-121.89743
Amor Cafe & Tea	110 E San Fernando St, San Jose	37.328965	-121.905718
Tea FM	1783 E Capitol Expy, San Jose	37.305033	-121.813605
Cha Time	311 N Capitol Ave, San Jose	37.395358	-121.870135
Boba Pub	1576 Branham Ln, San Jose	37.265741	-121.865715
Vanitea Snow Lounge	1195 Branham Ln, San Jose	37.265741	-121.865715
Simply Boba	3005 Silver Creek Rd, San Jose	37.30994	-121.813357
Tea Top	6158 Bollinger Rd, San Jose	37.309618	-121.996585
Boba Bar	310 S 3rd St, San Jose	37.332399	-121.884583
Thirst Tea	150 S 1st St, San Jose	37.333597	-121.887886
Pop Up Tea	185 Branham Ln, San Jose	37.265741	-121.865715
Pure Tea Bar	6195 Santa Teresa Blvd, San Jose	37.236278	-121.804198
Sharetea	1728 Hostetter Rd, San Jose	37.391005	-121.879275
Fantasia	378 Santana Row, San Jose	37.320887	-121.947769
Shake Tea	925 Blossom Hill Rd, San Jose	37.251171	-121.864063
Vampire Penguin Jastea	2671 Cropley Ave, San Jose	37.403808	-121.88098
T Spot	2520 Berryessa Rd, San Jose	37.390854	-121.853437
The Tea Zone	4750 Almaden Expy, San Jose	37.235917	-121.872877
i-Tea	2936 Aborn Square, San Jose	37.312539	-121.809327
Black Pearl	1055 E Brokaw Rd, San Jose	37.381746	-121.901843
Purple Kow	2435 S King Rd, San Jose	37.321285	-121.824996
Teasociety	1658 E Capitol Expy, San Jose	37.309103	-121.80904
Meow Tea	2857 Senter Rd, San Jose	37.299013	-121.839186
Shincha Tea	2487 Alvin Ave, San Jose	37.319359	-121.826854
Bambu	1688 Hostetter Rd, San Jose	37.386534	-121.884625
Tapioca Island	5815 Cottle Rd, San Jose	37.245421	-121.804161
Jazen Tea	1834 Tully Rd, San Jose	37.303626	-121.854744
T4	1671 N Capitol Ave, San Jose	37.395358	-121.870135
QQQ Tea	1600 S De Anza Blvd, San Jose	37.302674	-122.032153
Cool Tea Bar	3005 Silver Creek Rd, San Jose	37.30994	-121.813357
Soyful Desserts	999 Story Rd, San Jose	37.353389	-121.82324
Tea Bella	3005 Silver Creek Rd, San Jose	37.30994	-121.813357
Chatime	311 N Capitol Ave, San Jose	37.395358	-121.870135
The Sweet Corner	989 Story Rd, Ste 8039, San Jose	37.332196	-121.857435
Sweet Gelato Tea Lounge	979 Story Rd, San Jose	37.353389	-121.82324
Createave Cafe by Hello Dessert	1698 Hostetter Rd, Ste I, San Jose	37.38698	-121.883576
Tasty Pot	1143 Story Rd, San Jose	37.353389	-121.82324
KTV Cafe & Karaoke	1132 S De Anza Blvd, San Jose	37.304932	-122.032149
Amor Cafe & Tea	925 Blossom Hill Rd, San Jose	37.251171	-121.864063
Quickly	Eastridge Mall, 2200 Eastridge Loop, San Jose	37.325613	-121.813887
Ding Tea	3151 Senter Rd, San Jose	37.293548	-121.83344
Cutea	3126 Senter Rd, San Jose	37.293548	-121.83344
85C Bakery Cafe	1183 S De Anza Blvd, San Jose	37.304012	-122.033115
Passion T	2266 Senter Rd, Ste 128, San Jose	37.310526	-121.84997
Sno-Crave Teahouse	2569 S King St, San Jose	37.319497	-121.823518
Boiling Point	1698 Hostetter Rd, San Jose	37.391005	-121.879275
Comebuy	Oakridge Mall, San Jose	37.251543	-121.862449
Shincha Tea	2487 Alvin Ave, San Jose	37.319359	-121.826854
Bubbly	1816 Tully Rd, San Jose	37.303626	-121.854744
Happy Lemon	3005 Silver Creek Rd, San Jose	37.30994	-121.813357
The Pennywort	2056 N Capitol Ave, San Jose	37.395358	-121.870135
Tastea	1160 N Capitol Ave, San Jose	37.395358	-121.870135
TeaZer	22 N White Rd, San Jose	37.390474	-121.842273
Soyful Desserts	2569 King Rd, San Jose	37.319497	-121.823518
The Tea Zone Lounge	403 N Capitol Ave, San Jose	37.395358	-121.870135
Oooh	1783 E Capitol Expwy, San Jose	37.309677	-121.81009
Square Bar Cafe	1154 Story Rd, San Jose	37.353389	-121.82324
Sharetea	5627 Cottle Rd, San Jose	37.250902	-121.804117
i-Tea	388 9th St, Oakland	37.800356	-122.271787
Tea Worlds	90 Eureka Sq, Pacifica	37.633365	-122.488549
